business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
uz_pOxt-IForHNBcwUscJw,The Den LV,24,0:0-23:0,-115.30696,36.099561
KHROx3AxX8btg70JDPbIqg,PT's,35,0:0-23:0,-115.3148109,36.0863497
7Gkd18xKnIA324Fp7JHRRQ,Double Down Saloon,77,0:0-23:0,-115.149980949,36.1055000596
uo7nq-4J7A80a0t2a-55JQ,Scoundrels Pub,14,0:0-23:0,-115.20743,36.110606
o4GOd5mOs0AwvHgKb9o-Dw,Jackpot Joanie's,12,0:0-23:0,-115.053689558,36.101482347
PpicV2WP71Bmn5QsA9LAYw,Motor City Cafe,28,0:0-23:0,-115.1532096,36.1152094
nFesIguvEF_h5h7lNSn__w,Old Vegas Tavern,27,0:0-23:0,-115.0905663,36.129929133
meTdk3S9xikwSRcb7Uk_Nw,Zuri,29,0:0-23:0,-115.169277,36.1025618
A7Hb0SEYZH-n70SS4DKJJA,Surrealnightlife,53,8:0-23:0,-115.1711298,36.128561
oJZNHz5UUVUgrZwVBVlpYw,Petrossian Bar,56,0:0-23:0,-115.175814629,36.1128473337
MwCai0x6GILtK4KkwufZig,The Martini,58,0:0-23:0,-115.2930234,36.1571926
XjepvTIfp4iqGq1orODedg,Four Kegs Sports Bar,65,0:0-23:0,-115.223261777,36.1759036894
mwE5uNVkxCXvEuVa1KQ_3g,Distill - A Local Bar,59,0:0-23:0,-115.20638,36.006571
yjME88ri8wpBDm6i0xoi9Q,Avenue Cafe,43,6:0-14:0,-115.169402,36.103399
K8ies0ZhtaNFQQh2dCRTYw,Lobby Bar,20,0:0-23:0,-115.175777,36.0987307
WKrCvD-CoDZnCj3nsMCrRw,PT's,35,0:0-23:0,-115.15086,36.013564
Trbt0Ex85yvwT8DHoEFCvg,Ocean One Bar and Grille,51,7:30-23:30,-115.170512,36.108854
LJt-NO2FhvQxTmBoaaLhTg,Three Angry Wives,43,8:0-8:0,-115.2881423,36.1593779
AkG4ozbKUgjDk8-Mmywsxw,Timbers - Lake Mead,33,0:0-23:0,-115.0344329,36.1963785
rTN9PfZFa3vmfyPZd-u9sw,O'Aces Bar & Grill,31,0:0-23:0,-115.2426033,36.2138478
